caseNum,currentPage,examEndDate,examStartDate,insertEndTime,insertStartTime,isExport,fromSite,nameOrIdCard,orderStatuses,gender,isSelfMoneyZero,hospitalId,examCompanyId,pageSize,rowCount,message
case01,1,2018-01-16 23:59:59,2017-01-01 00:00:00,,,,118,,1#2#3#9#10,,,,,,-1,体检时间默认且有效订单
case02,1,,,2018-03-29 23:59:59,2017-01-01 00:00:00,,118,,1#2#3#9#10,,,,,,-1,预约时间默认且有效订单
case03,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,燕妙芙,1#2#3#9#10,,,,,,-1,体检时间且搜索姓名
case04,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,522325198709011967,1#2#3#9#10,,,,,,-1,体检时间且搜索身份证
case05,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,522325198709011967,1#2#3#9#10,0,,,,,-1,体检时间且搜索性别男
case06,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,522325198709011967,1#2#3#9#10,,true,,,,-1,无线上自付
case07,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,522325198709011967,1#2#3#9#10,,true,1,,,-1,筛选体检中心
case08,1,2018-03-30 23:59:59,2017-01-01 00:00:00,,,,118,522325198709011967,1#2#3#9#10,,true,1,1585,,-1,筛选单位
case09,1,2018-01-16 23:59:59,2017-10-18 00:00:00,,,false,118,,1#2#3#9#10,,,,,,-1,体检时间默认且有效订单（不含已导出）
case10,1,2018-01-16 23:59:59,2017-10-18 00:00:00,,,true,118,,1#2#3#9#10,,,,,,-1,体检时间默认且有效订单（不含已预约）
